Date,Region,Sunspot Number,Size,Magnetic Classification,Sunspot Classification,Location
1996-06-04,7968,3,0,region_mag A,AXX,N02E41
1996-06-05,7968,2,10,region_mag B,BXO,N02E28
1996-06-05,7969,1,0,region_mag A,AXX,N09W33
1996-06-06,7968,4,20,region_mag B,CRO,N03E12
1996-06-06,7969,4,10,region_mag B,BXO,N08W44
1996-06-07,7968,9,50,region_mag B,DSO,N03W01
1996-06-07,7970,3,10,region_mag B,BXO,S09W78
1996-06-08,7968,17,80,region_mag B,DSO,N02W15
1996-06-09,7968,19,90,region_mag B,DAO,N03W29
1996-06-10,7968,12,90,region_mag B,CAO,N02W42
1996-06-10,7971,2,10,region_mag B,BXO,S07W15
1996-06-11,7968,7,60,region_mag B,CAO,N02W56
1996-06-12,7968,1,40,region_mag A,HSX,N03W70
1996-06-13,7968,1,0,region_mag A,AXX,N03W86
1996-06-19,7972,2,0,region_mag B,BXO,N28E24
1996-06-20,7972,3,10,region_mag B,BXO,N28E09
1996-06-20,7973,2,70,region_mag B,CSO,N09E70
1996-06-21,7972,1,0,region_mag A,AXX,N27W03
1996-06-21,7973,1,100,region_mag A,HSX,N10E59
1996-06-22,7972,1,0,region_mag A,AXX,N28W16
1996-06-22,7973,1,90,region_mag A,HSX,N11E45
1996-06-22,7974,1,0,region_mag A,AXX,N09E16
1996-06-23,7973,1,90,region_mag A,HSX,N10E32
1996-06-23,7975,2,10,region_mag A,AXX,N07E65
1996-06-24,7973,1,100,region_mag A,HSX,N10E18
1996-06-24,7976,2,10,region_mag B,BXO,N12E63
1996-06-25,7973,2,70,region_mag A,HSX,N09E05
1996-06-25,7976,3,30,region_mag A,AXX,N13E52
1996-06-26,7973,1,80,region_mag A,HSX,N10W07
1996-06-26,7976,2,10,region_mag A,AXX,N13E38
1996-06-27,7973,1,70,region_mag A,HSX,N09W21
1996-06-27,7976,4,10,region_mag A,AXX,N13E25
1996-06-28,7973,1,70,region_mag A,HSX,N08W35
1996-06-28,7976,4,20,region_mag A,HRX,N13E11
1996-06-29,7973,1,280,region_mag A,HSX,N08W48
1996-06-29,7976,4,40,region_mag A,HRX,N13W02
1996-06-30,7973,1,70,region_mag A,HSX,N09W62
1996-06-30,7976,2,10,region_mag A,HRX,N13W09
1996-07-01,7973,1,70,region_mag A,HSX,N06W76
1996-07-01,7976,2,10,region_mag A,AXX,N12W29
1996-07-02,7973,1,50,region_mag A,HSX,N08W89
1996-07-03,7977,3,10,region_mag B,BXO,N04E16
1996-07-04,7977,3,10,region_mag B,BXO,N03W02
1996-07-05,7978,2,10,region_mag B,BXO,S11E28
1996-07-06,7978,2,10,region_mag B,BXO,S09E15
1996-07-08,7978,17,30,region_mag B,CRI,S10W11
1996-07-09,7978,32,250,region_mag BGD,DAI,S10W24
1996-07-10,7978,25,400,region_mag BGD,EAC,S10W38
1996-07-11,7978,26,420,region_mag BGD,EHI,S11W51
1996-07-12,7978,22,390,region_mag BG,EHO,S11W65
1996-07-13,7978,9,300,region_mag B,EHO,S12W76
1996-07-14,7978,1,20,region_mag A,AXX,S10W89
1996-07-20,7979,2,10,region_mag A,AXX,S34E41
