Date,Total Sunspot,Max Size,Zurich Class,Penumbra Class,Compactness Class,NS,Lat,EW,Lan,X-ray class,X-ray intensity
1982-01-01,16.0,330.0,D,K,O,S,24,W,61,0,0.0
1982-01-01,1.0,280.0,H,S,X,S,21,W,84,0,0.0
1982-01-01,8.0,240.0,D,A,O,N,20,W,73,M,3.1
1982-01-01,8.0,20.0,C,R,O,S,10,W,23,0,0.0
1982-01-01,22.0,310.0,D,A,O,N,18,W,18,0,0.0
1982-01-01,57.0,190.0,E,K,I,N,25,E,30,C,2.1
1982-01-01,12.0,130.0,C,S,O,S,19,W,73,0,0.0
1982-01-01,3.0,10.0,B,X,O,N,7,E,9,0,0.0
1982-01-01,15.0,40.0,H,A,O,N,10,E,52,0,0.0
1982-01-01,6.0,60.0,H,R,O,S,15,E,71,0,0.0
1982-01-01,15.0,40.0,C,R,O,N,22,E,29,C,8.9
1982-01-02,6.0,190.0,D,K,O,S,26,W,83,0,0.0
1982-01-02,3.0,10.0,A,X,X,S,5,W,23,0,0.0
1982-01-02,10.0,100.0,D,A,O,N,18,W,39,0,0.0
1982-01-02,53.0,160.0,D,K,O,N,25,E,5,C,1.6
1982-01-02,2.0,0.0,A,X,X,S,17,W,75,0,0.0
1982-01-02,1.0,0.0,A,X,X,N,11,E,0,0,0.0
1982-01-02,13.0,50.0,H,A,O,N,10,E,29,0,0.0
1982-01-02,4.0,30.0,H,A,O,S,13,E,49,0,0.0
1982-01-02,28.0,50.0,D,A,O,N,23,E,20,0,0.0
1982-01-02,5.0,60.0,C,R,O,S,18,E,58,0,0.0
1982-01-02,3.0,90.0,H,A,O,S,33,E,79,0,0.0
1982-01-02,2.0,190.0,H,K,X,S,16,E,78,0,0.0
1982-01-03,15.0,80.0,D,S,O,N,20,W,58,0,0.0
1982-01-03,52.0,140.0,E,A,O,N,27,E,3,0,0.0
1982-01-03,1.0,0.0,A,X,X,N,19,W,23,0,0.0
1982-01-03,10.0,30.0,C,S,O,N,11,E,25,0,0.0
1982-01-03,3.0,0.0,B,X,O,S,14,E,44,0,0.0
1982-01-03,29.0,40.0,C,R,O,N,22,E,7,0,0.0
1982-01-03,53.0,180.0,E,A,O,N,10,E,10,0,0.0
1982-01-03,11.0,30.0,C,A,O,S,17,E,56,0,0.0
1982-01-03,2.0,60.0,H,A,X,S,35,E,73,0,0.0
1982-01-03,3.0,250.0,H,H,X,S,18,E,68,0,0.0
1982-01-03,1.0,0.0,A,X,X,N,18,E,13,0,0.0
1982-01-04,13.0,60.0,C,S,O,N,18,W,59,0,0.0
1982-01-04,49.0,150.0,E,A,O,N,26,W,10,C,1.1
1982-01-04,9.0,30.0,C,R,O,N,10,E,19,0,0.0
1982-01-04,7.0,20.0,H,S,O,S,16,E,17,0,0.0
1982-01-04,11.0,30.0,C,R,O,N,22,E,3,0,0.0
1982-01-04,128.0,200.0,F,A,I,N,9,W,3,C,5.7
1982-01-04,28.0,60.0,H,A,O,S,18,E,33,0,0.0
1982-01-04,4.0,180.0,H,S,O,S,36,E,51,0,0.0
1982-01-04,2.0,250.0,H,H,X,S,16,E,65,0,0.0
1982-01-04,2.0,10.0,B,X,O,N,22,E,1,0,0.0
1982-01-04,2.0,30.0,H,R,X,S,6,E,64,0,0.0
1982-01-05,1.0,0.0,A,X,X,N,18,W,75,0,0.0
1982-01-05,19.0,70.0,E,S,O,N,26,W,24,C,1.5
1982-01-05,3.0,10.0,B,X,O,S,16,E,17,0,0.0
1982-01-05,3.0,10.0,B,X,O,N,21,W,13,0,0.0
1982-01-05,50.0,160.0,E,A,I,N,10,W,16,0,0.0
1982-01-05,7.0,40.0,D,S,O,S,17,E,21,0,0.0
1982-01-05,1.0,30.0,H,S,X,S,36,E,48,0,0.0
1982-01-05,2.0,250.0,H,H,X,S,16,E,43,0,0.0
1982-01-05,1.0,40.0,H,S,X,S,6,E,63,0,0.0
1982-01-06,12.0,60.0,D,R,O,N,26,W,36,0,0.0
1982-01-06,27.0,270.0,E,A,I,N,10,W,22,C,3.2
1982-01-06,12.0,40.0,C,S,O,S,17,E,16,0,0.0
1982-01-06,2.0,60.0,C,S,O,S,36,E,36,0,0.0
1982-01-06,1.0,200.0,H,S,X,S,16,E,38,0,0.0
1982-01-06,1.0,20.0,H,R,X,S,6,E,50,0,0.0
1982-01-07,1.0,0.0,A,X,X,N,25,W,50,0,0.0
1982-01-07,106.0,480.0,E,K,I,N,9,W,48,C,6.7
1982-01-07,20.0,40.0,D,A,I,S,17,E,3,0,0.0
1982-01-07,15.0,50.0,H,A,O,S,36,E,13,0,0.0
1982-01-07,5.0,250.0,H,K,X,S,16,E,16,0,0.0
1982-01-07,25.0,40.0,D,A,O,N,11,W,1,0,0.0
1982-01-07,3.0,20.0,H,A,X,S,5,E,27,0,0.0
1982-01-07,1.0,0.0,A,X,X,S,16,E,71,0,0.0
1982-01-07,43.0,70.0,D,A,I,S,17,W,1,0,0.0
1982-01-08,131.0,630.0,E,K,C,N,8,W,58,M,3.0
1982-01-08,15.0,50.0,D,A,O,S,19,W,23,C,2.0
1982-01-08,5.0,60.0,C,A,O,S,36,E,9,0,0.0
1982-01-08,4.0,250.0,H,K,X,S,16,E,12,0,0.0
1982-01-08,13.0,30.0,B,X,O,N,10,W,4,0,0.0
1982-01-08,2.0,0.0,A,X,X,S,7,E,25,0,0.0
1982-01-08,5.0,10.0,B,X,O,S,16,E,57,0,0.0
1982-01-08,36.0,50.0,D,A,O,S,16,W,3,0,0.0
1982-01-08,1.0,0.0,A,X,X,S,8,E,60,0,0.0
1982-01-08,6.0,10.0,B,X,O,S,20,E,25,0,0.0
1982-01-09,1.0,0.0,A,X,X,N,11,W,31,0,0.0
1982-01-09,61.0,460.0,F,K,I,N,9,W,62,M,1.7
1982-01-09,7.0,20.0,C,R,O,S,18,W,28,0,0.0
1982-01-09,3.0,30.0,H,A,X,S,36,W,12,M,1.1
1982-01-09,1.0,230.0,H,S,X,S,15,W,2,0,0.0
1982-01-09,6.0,20.0,C,R,O,N,9,W,18,0,0.0
1982-01-09,1.0,0.0,A,X,X,N,22,W,58,0,0.0
1982-01-09,1.0,0.0,A,X,X,S,7,E,11,0,0.0
1982-01-09,51.0,130.0,D,A,I,S,16,W,26,C,5.1
1982-01-09,3.0,20.0,C,R,O,S,8,E,37,0,0.0
1982-01-09,2.0,10.0,A,X,X,S,34,W,3,0,0.0
1982-01-09,13.0,30.0,C,R,O,S,20,E,5,0,0.0
1982-01-10,1.0,10.0,A,X,X,N,24,W,74,0,0.0
1982-01-10,16.0,740.0,E,K,I,N,8,W,75,C,1.9
1982-01-10,4.0,30.0,C,R,O,S,17,W,43,0,0.0
1982-01-10,2.0,30.0,H,S,X,S,36,W,16,0,0.0
1982-01-10,2.0,210.0,H,H,X,S,16,W,14,0,0.0
1982-01-10,1.0,60.0,H,S,X,N,21,W,73,0,0.0
1982-01-10,2.0,10.0,A,X,X,S,17,E,22,0,0.0
1982-01-10,51.0,190.0,D,A,I,S,17,W,42,C,1.1
1982-01-10,5.0,10.0,B,X,O,S,9,E,34,0,0.0
1982-01-10,1.0,0.0,A,X,X,S,35,W,4,0,0.0
1982-01-10,6.0,10.0,B,X,O,S,21,W,1,0,0.0
1982-01-11,2.0,20.0,H,S,X,S,36,W,28,0,0.0
1982-01-11,4.0,200.0,H,K,O,S,15,W,38,0,0.0
1982-01-11,1.0,0.0,A,X,X,S,15,E,10,0,0.0
1982-01-11,58.0,270.0,E,A,I,S,15,W,50,0,0.0
1982-01-11,1.0,0.0,A,X,X,S,9,E,21,0,0.0
1982-01-11,4.0,20.0,B,X,O,S,8,E,69,0,0.0
1982-01-12,2.0,20.0,H,S,X,S,35,W,48,0,0.0
1982-01-12,2.0,190.0,H,H,X,S,15,W,48,0,0.0
1982-01-12,1.0,10.0,A,X,X,S,14,W,0,0,0.0
1982-01-12,14.0,350.0,E,A,O,S,18,W,56,0,0.0
1982-01-12,26.0,150.0,D,R,O,S,8,E,58,C,1.0
1982-01-13,1.0,10.0,A,X,X,S,35,W,53,0,0.0
1982-01-13,2.0,190.0,H,A,X,S,15,W,52,0,0.0
1982-01-13,23.0,360.0,E,A,O,S,18,W,69,M,1.9
1982-01-13,59.0,230.0,D,A,I,S,8,E,42,0,0.0
