Date,Region,Flares Count,Avg Max Time,Max log10 X-ray intensity,Max Duration,Avg Duration,X-ray class,X-ray intensity
1982-01-01,3522,2,378733020.0,-4.508638306165727,3360,2340.0,M,3.1
1982-01-01,3531,3,378736640.0,-5.6777807052660805,3240,2120.0,C,2.1
1982-01-01,3536,1,378767640.0,-5.050609993355088,540,540.0,C,8.9
1982-01-01,3537,1,378750300.0,-6.0,480,480.0,C,1.0
1982-01-02,3522,1,378800400.0,-4.0915149811213505,1680,1680.0,M,8.1
1982-01-02,3531,1,378837780.0,-5.795880017344075,420,420.0,C,1.6
1982-01-03,3522,2,378876900.0,-4.721246399047171,1500,1320.0,M,1.9
1982-01-04,3531,1,378955620.0,-5.958607314841775,1140,1140.0,C,1.1
1982-01-04,3537,6,378994920.0,-5.2441251443275085,2940,1570.0,C,5.7
1982-01-05,3531,1,379086240.0,-5.823908740944319,1020,1020.0,C,1.5
1982-01-05,3541,1,379104240.0,-5.853871964321762,420,420.0,C,1.4
1982-01-06,3537,5,379162416.0,-5.494850021680094,3240,1584.0,C,3.2
1982-01-07,3537,6,379264510.0,-5.173925197299173,2820,1230.0,C,6.7
1982-01-08,3537,5,379319388.0,-4.522878745280337,19140,5124.0,M,3.0
1982-01-08,3538,1,379325100.0,-5.698970004336019,900,900.0,C,2.0
1982-01-09,3537,5,379429572.0,-4.769551078621726,10740,2784.0,M,1.7
1982-01-09,3539,1,379433580.0,-4.958607314841775,3420,3420.0,M,1.1
1982-01-09,3545,1,379402080.0,-5.292429823902063,4080,4080.0,C,5.1
1982-01-10,3537,1,379478640.0,-5.721246399047171,360,360.0,C,1.9
1982-01-10,3545,1,379551060.0,-5.958607314841775,1020,1020.0,C,1.1
1982-01-11,3537,1,379579380.0,-5.136677139879544,900,900.0,C,7.3
1982-01-11,3548,1,379627560.0,-5.958607314841775,1560,1560.0,C,1.1
1982-01-12,3549,1,379649400.0,-6.0,600,600.0,C,1.0
1982-01-13,3545,1,379733700.0,-4.721246399047171,3900,3900.0,M,1.9
1982-01-14,3549,1,379871760.0,-6.0,1260,1260.0,C,1.0
1982-01-15,3549,1,379915500.0,-5.638272163982407,4020,4020.0,C,2.3
1982-01-15,3550,2,379940400.0,-5.537602002101044,6900,4110.0,C,2.9
1982-01-16,3549,1,380047380.0,-5.638272163982407,1740,1740.0,C,2.3
1982-01-16,3550,5,380036424.0,-5.585026652029182,1800,1152.0,C,2.6
1982-01-18,3549,2,380207010.0,-5.3979400086720375,6180,4830.0,C,4.0
1982-01-18,3559,2,380220240.0,-5.229147988357856,4380,2490.0,C,5.9
1982-01-20,3553,1,380354220.0,-5.301029995663981,720,720.0,C,5.0
1982-01-20,3566,1,380357760.0,-5.657577319177793,720,720.0,C,2.2
1982-01-21,3557,1,380491380.0,-5.721246399047171,1140,1140.0,C,1.9
1982-01-21,3567,1,380501340.0,-5.619788758288394,780,780.0,C,2.4
1982-01-21,3569,1,380471880.0,-5.443697499232713,2580,2580.0,C,3.6
