Region,Sunspot Number,Flare Count,Year,Month,Day
3477,70,2,1981,12,1
3478,32,0,1981,12,1
3480,4,0,1981,12,1
3481,8,0,1981,12,1
3484,35,6,1981,12,1
3485,12,1,1981,12,1
3486,6,0,1981,12,1
3487,17,0,1981,12,1
3488,5,0,1981,12,1
3489,2,0,1981,12,1
3490,1,0,1981,12,1
3477,92,1,1981,12,2
3478,25,0,1981,12,2
3480,1,1,1981,12,2
3481,5,0,1981,12,2
3484,26,2,1981,12,2
3485,12,1,1981,12,2
3486,8,0,1981,12,2
3487,22,0,1981,12,2
3488,2,0,1981,12,2
3489,6,0,1981,12,2
3490,1,0,1981,12,2
3491,2,0,1981,12,2
3492,4,0,1981,12,2
3494,1,0,1981,12,2
3502,1,0,1981,12,2
3477,10,0,1981,12,4
3481,3,0,1981,12,4
3484,7,0,1981,12,4
3485,11,0,1981,12,4
3486,5,1,1981,12,4
3487,31,0,1981,12,4
3489,1,0,1981,12,4
3490,2,0,1981,12,4
3491,1,0,1981,12,4
3492,15,1,1981,12,4
3494,2,0,1981,12,4
3496,12,1,1981,12,4
3497,3,0,1981,12,4
3498,2,0,1981,12,4
3499,4,0,1981,12,4
3500,4,0,1981,12,4
3502,1,0,1981,12,4
3477,5,0,1981,12,5
3481,3,0,1981,12,5
3484,6,1,1981,12,5
3485,11,0,1981,12,5
3486,7,0,1981,12,5
3487,27,0,1981,12,5
3489,2,1,1981,12,5
3490,2,0,1981,12,5
3491,2,0,1981,12,5
3492,31,1,1981,12,5
3494,1,0,1981,12,5
3496,19,1,1981,12,5
3497,20,0,1981,12,5
3498,2,0,1981,12,5
3499,5,0,1981,12,5
3500,8,2,1981,12,5
3501,1,0,1981,12,5
3502,3,0,1981,12,5
3485,12,0,1981,12,7
3486,10,0,1981,12,7
3487,38,0,1981,12,7
3489,1,0,1981,12,7
3490,1,0,1981,12,7
3491,9,0,1981,12,7
3492,37,1,1981,12,7
3496,42,1,1981,12,7
3497,25,0,1981,12,7
3498,5,0,1981,12,7
3499,6,0,1981,12,7
3500,24,0,1981,12,7
3501,1,0,1981,12,7
3502,7,1,1981,12,7
3503,13,1,1981,12,7
3504,8,0,1981,12,7
3505,5,4,1981,12,7
3506,2,0,1981,12,7
3485,5,0,1981,12,8
3486,4,0,1981,12,8
3487,22,0,1981,12,8
3491,6,0,1981,12,8
3492,40,0,1981,12,8
3496,47,1,1981,12,8
3497,23,0,1981,12,8
3498,7,0,1981,12,8
3499,15,0,1981,12,8
3500,24,0,1981,12,8
3501,81,0,1981,12,8
3502,9,1,1981,12,8
3503,24,0,1981,12,8
3504,17,0,1981,12,8
3505,14,6,1981,12,8
3506,11,0,1981,12,8
3487,16,2,1981,12,9
3491,3,0,1981,12,9
3492,51,4,1981,12,9
3494,10,0,1981,12,9
3496,45,1,1981,12,9
3497,11,0,1981,12,9
3498,6,0,1981,12,9
3499,2,0,1981,12,9
3500,19,0,1981,12,9
3501,7,0,1981,12,9
3502,8,0,1981,12,9
3503,27,0,1981,12,9
3504,20,2,1981,12,9
3505,13,0,1981,12,9
3506,5,0,1981,12,9
3507,9,0,1981,12,9
3508,7,0,1981,12,9
3509,2,0,1981,12,11
3491,2,0,1981,12,13
3492,21,1,1981,12,13
3496,17,0,1981,12,13
3497,5,0,1981,12,13
3498,2,0,1981,12,13
3499,1,0,1981,12,13
3500,7,0,1981,12,13
3501,1,0,1981,12,13
3503,11,0,1981,12,13
3504,18,0,1981,12,13
3505,25,0,1981,12,13
3506,5,0,1981,12,13
3507,21,1,1981,12,13
3508,2,0,1981,12,13
3509,2,1,1981,12,13
3510,4,0,1981,12,13
3511,6,0,1981,12,13
3491,2,0,1981,12,14
3492,11,0,1981,12,14
3496,13,1,1981,12,14
3497,2,0,1981,12,14
3498,1,0,1981,12,14
3499,1,0,1981,12,14
3500,3,0,1981,12,14
3501,1,0,1981,12,14
3503,11,0,1981,12,14
3504,18,0,1981,12,14
3505,19,2,1981,12,14
3506,1,0,1981,12,14
3507,26,1,1981,12,14
3510,2,0,1981,12,14
3511,9,1,1981,12,14
3513,2,0,1981,12,14
3492,1,1,1981,12,15
3498,1,0,1981,12,15
3499,1,0,1981,12,15
3500,2,0,1981,12,15
3501,1,0,1981,12,15
3503,3,0,1981,12,15
3504,14,1,1981,12,15
3505,7,2,1981,12,15
3506,2,0,1981,12,15
3507,20,4,1981,12,15
3511,8,0,1981,12,15
3514,1,0,1981,12,15
3498,1,0,1981,12,16
3499,1,0,1981,12,16
3501,1,0,1981,12,16
3504,12,0,1981,12,16
3505,6,1,1981,12,16
3506,2,0,1981,12,16
3507,15,0,1981,12,16
3511,10,0,1981,12,16
3512,2,0,1981,12,16
3513,7,0,1981,12,16
3514,3,0,1981,12,16
3501,1,0,1981,12,17
3504,5,0,1981,12,17
3505,1,0,1981,12,17
3511,5,0,1981,12,17
3513,4,0,1981,12,17
3514,2,0,1981,12,17
3515,7,0,1981,12,17
3501,1,0,1981,12,18
3504,4,0,1981,12,18
3505,1,3,1981,12,18
3511,6,0,1981,12,18
3514,3,0,1981,12,18
3515,8,0,1981,12,18
3516,2,0,1981,12,18
3517,1,0,1981,12,18
3518,1,0,1981,12,18
3505,2,0,1981,12,19
3511,2,0,1981,12,19
3514,1,0,1981,12,19
3515,15,1,1981,12,19
3516,5,0,1981,12,19
3517,1,0,1981,12,19
3518,7,0,1981,12,19
3519,2,0,1981,12,19
3505,1,0,1981,12,20
3511,2,0,1981,12,20
3514,1,0,1981,12,20
3515,10,0,1981,12,20
3516,1,0,1981,12,20
3518,9,0,1981,12,20
3519,2,0,1981,12,20
3520,1,0,1981,12,20
3511,1,0,1981,12,21
3514,1,0,1981,12,21
3515,9,0,1981,12,21
3516,2,0,1981,12,21
3518,4,0,1981,12,21
3519,2,0,1981,12,21
3520,4,0,1981,12,21
3521,1,0,1981,12,21
3522,2,0,1981,12,21
3511,1,0,1981,12,22
3515,5,0,1981,12,22
3516,4,0,1981,12,22
3518,3,0,1981,12,22
3519,3,0,1981,12,22
3520,7,0,1981,12,22
3521,12,0,1981,12,22
3522,3,0,1981,12,22
3523,1,0,1981,12,22
3512,2,0,1981,12,23
3515,2,0,1981,12,23
3516,6,0,1981,12,23
3519,3,0,1981,12,23
3520,6,1,1981,12,23
3521,13,1,1981,12,23
3522,15,0,1981,12,23
3523,3,0,1981,12,23
3524,3,0,1981,12,23
3515,1,0,1981,12,24
3516,1,0,1981,12,24
3520,3,1,1981,12,24
3521,10,0,1981,12,24
3522,23,1,1981,12,24
3523,2,0,1981,12,24
3525,1,0,1981,12,24
3526,1,0,1981,12,24
3512,1,0,1981,12,25
3516,4,0,1981,12,25
3520,3,0,1981,12,25
3521,5,0,1981,12,25
3522,25,1,1981,12,25
3523,2,2,1981,12,25
3525,1,0,1981,12,25
3526,1,2,1981,12,25
3527,1,0,1981,12,25
3516,5,0,1981,12,26
3519,2,0,1981,12,26
3520,11,0,1981,12,26
3521,7,0,1981,12,26
3522,30,0,1981,12,26
3523,3,0,1981,12,26
3525,13,0,1981,12,26
3526,3,0,1981,12,26
3527,4,1,1981,12,26
3528,5,0,1981,12,26
3529,1,0,1981,12,26
3533,1,0,1981,12,26
3516,5,0,1981,12,27
3520,10,0,1981,12,27
3521,10,0,1981,12,27
3522,18,1,1981,12,27
3523,2,2,1981,12,27
3525,13,1,1981,12,27
3526,3,0,1981,12,27
3527,3,0,1981,12,27
3528,6,0,1981,12,27
3529,5,0,1981,12,27
3530,3,0,1981,12,27
3516,2,0,1981,12,28
3520,10,0,1981,12,28
3521,14,0,1981,12,28
3522,17,1,1981,12,28
3523,1,0,1981,12,28
3525,12,1,1981,12,28
3527,7,0,1981,12,28
3528,7,0,1981,12,28
3529,15,0,1981,12,28
3530,14,0,1981,12,28
3531,9,1,1981,12,28
3532,5,0,1981,12,28
3533,4,1,1981,12,28
3516,1,0,1981,12,29
3520,14,0,1981,12,29
3521,8,0,1981,12,29
3522,11,0,1981,12,29
3523,4,0,1981,12,29
3525,8,1,1981,12,29
3528,6,0,1981,12,29
3529,10,0,1981,12,29
3530,21,0,1981,12,29
3531,5,0,1981,12,29
3532,6,0,1981,12,29
3533,3,1,1981,12,29
3537,1,0,1981,12,29
3516,1,0,1981,12,30
3520,6,0,1981,12,30
3521,8,0,1981,12,30
3522,4,1,1981,12,30
3525,5,1,1981,12,30
3528,3,0,1981,12,30
3530,14,0,1981,12,30
3531,8,0,1981,12,30
3532,7,0,1981,12,30
3533,2,3,1981,12,30
3534,1,0,1981,12,30
3520,5,0,1981,12,31
3521,5,0,1981,12,31
3522,9,1,1981,12,31
3523,2,0,1981,12,31
3525,7,0,1981,12,31
3528,2,0,1981,12,31
3530,16,0,1981,12,31
3531,11,0,1981,12,31
3532,6,0,1981,12,31
3533,3,0,1981,12,31
3534,8,0,1981,12,31
3535,2,0,1981,12,31
3537,1,0,1981,12,31
3520,6,0,1982,1,1
3521,1,0,1982,1,1
3522,5,2,1982,1,1
3528,6,0,1982,1,1
3530,10,0,1982,1,1
3531,19,3,1982,1,1
3532,5,0,1982,1,1
3533,2,0,1982,1,1
3534,6,0,1982,1,1
3535,4,0,1982,1,1
3536,8,1,1982,1,1
3520,4,0,1982,1,2
3528,3,0,1982,1,2
3530,7,0,1982,1,2
3531,22,1,1982,1,2
3532,2,0,1982,1,2
3533,1,0,1982,1,2
3534,9,0,1982,1,2
3535,2,0,1982,1,2
3536,10,0,1982,1,2
3538,3,0,1982,1,2
3539,2,0,1982,1,2
3540,1,0,1982,1,2
3530,6,0,1982,1,3
3531,28,0,1982,1,3
3533,1,0,1982,1,3
3534,4,0,1982,1,3
3535,2,0,1982,1,3
3536,17,0,1982,1,3
3537,25,0,1982,1,3
3538,6,0,1982,1,3
3539,1,0,1982,1,3
3540,1,0,1982,1,3
3542,1,0,1982,1,3
3530,5,0,1982,1,4
3531,20,1,1982,1,4
3534,4,0,1982,1,4
3535,5,0,1982,1,4
3536,5,0,1982,1,4
3537,37,6,1982,1,4
3538,10,0,1982,1,4
3539,2,0,1982,1,4
3540,1,0,1982,1,4
3542,2,0,1982,1,4
3543,1,0,1982,1,4
3530,1,0,1982,1,5
3531,11,1,1982,1,5
3535,3,0,1982,1,5
3536,3,0,1982,1,5
3537,30,0,1982,1,5
3538,4,0,1982,1,5
3539,1,0,1982,1,5
3540,1,0,1982,1,5
3543,1,0,1982,1,5
3531,12,0,1982,1,6
3537,27,5,1982,1,6
3538,12,0,1982,1,6
3539,2,0,1982,1,6
3540,1,0,1982,1,6
3543,1,0,1982,1,6
3531,1,0,1982,1,7
3537,51,6,1982,1,7
3538,12,0,1982,1,7
3539,7,0,1982,1,7
3540,1,0,1982,1,7
3541,9,0,1982,1,7
3543,1,0,1982,1,7
3544,1,0,1982,1,7
3545,13,0,1982,1,7
3537,54,5,1982,1,8
3538,10,1,1982,1,8
3539,3,0,1982,1,8
3540,2,0,1982,1,8
3541,13,0,1982,1,8
3543,2,0,1982,1,8
3544,5,0,1982,1,8
3545,18,0,1982,1,8
3546,1,0,1982,1,8
3548,5,0,1982,1,8
3535,1,0,1982,1,9
3537,27,5,1982,1,9
3538,5,0,1982,1,9
3539,1,1,1982,1,9
3540,1,0,1982,1,9
3541,6,0,1982,1,9
3542,1,0,1982,1,9
