Date,Region,Total Sunspot,Max Size,Zurich Class,Penumbra Class,Compactness Class,NS,Lat,EW,Lan
1982-01-01,3520,18.0,430.0,4.0,6.0,2.0,S,25,W,75
1982-01-01,3521,2.0,280.0,7.0,3.0,1.0,S,21,W,84
1982-01-01,3522,11.0,240.0,4.0,4.0,2.0,N,20,W,73
1982-01-01,3528,18.0,30.0,3.0,2.0,2.0,S,10,W,12
1982-01-01,3530,41.0,310.0,4.0,4.0,2.0,N,18,W,18
1982-01-01,3531,71.0,190.0,5.0,6.0,3.0,N,25,E,30
1982-01-01,3532,18.0,130.0,3.0,3.0,2.0,S,19,W,73
1982-01-01,3533,5.0,10.0,2.0,1.0,2.0,N,05,E,15
1982-01-01,3534,15.0,40.0,7.0,4.0,2.0,N,10,E,52
1982-01-01,3535,10.0,60.0,7.0,2.0,2.0,S,15,E,71
1982-01-01,3536,18.0,40.0,3.0,2.0,2.0,N,22,E,29
1982-01-02,3520,6.0,190.0,4.0,6.0,2.0,S,26,W,83
1982-01-02,3528,3.0,10.0,1.0,1.0,1.0,S,05,W,23
1982-01-02,3530,13.0,120.0,4.0,4.0,2.0,N,18,W,45
1982-01-02,3531,53.0,160.0,4.0,6.0,2.0,N,25,E,05
1982-01-02,3532,2.0,0.0,1.0,1.0,1.0,S,17,W,75
1982-01-02,3533,1.0,0.0,1.0,1.0,1.0,N,11,E,00
1982-01-02,3534,13.0,50.0,7.0,4.0,2.0,N,10,E,29
1982-01-02,3535,4.0,30.0,7.0,4.0,2.0,S,13,E,49
1982-01-02,3536,28.0,50.0,4.0,4.0,2.0,N,23,E,20
1982-01-02,3538,5.0,60.0,3.0,2.0,2.0,S,18,E,58
1982-01-02,3539,3.0,90.0,7.0,4.0,2.0,S,33,E,79
1982-01-02,3540,2.0,190.0,7.0,6.0,1.0,S,14,E,80
1982-01-03,3530,18.0,80.0,4.0,3.0,2.0,N,20,W,58
