Date,Region,Sunspot Number,Size,Magnetic Classification,Location,Zurich Class,Penumbra Class,Compactness Class
1981-12-01,3477,70,542,BG,S11E06,F,K,I
1981-12-01,3478,32,535,BG,N13W46,E,K,I
1981-12-01,3480,4,26,B,S22W37,C,A,O
1981-12-01,3481,8,33,B,S15E28,C,R,O
1981-12-01,3484,35,203,BG,N16W10,D,A,I
1981-12-01,3485,12,183,B,N19E64,D,S,O
1981-12-01,3486,6,20,B,S20E58,B,X,O
1981-12-01,3487,17,139,B,N06E73,D,S,O
1981-12-01,3488,5,10,B,N12E12,B,X,O
1981-12-01,3489,2,12,A,S04E56,H,R,X
1981-12-01,3490,1,30,A,S01E80,A,X,X
1981-12-02,3477,92,507,BG,S11W06,F,H,I
1981-12-02,3478,25,503,BG,N13W59,E,H,I
1981-12-02,3480,1,10,A,S22W54,A,X,X
1981-12-02,3481,5,20,B,S16E15,C,R,O
1981-12-02,3484,26,210,BG,N16W24,E,A,I
1981-12-02,3485,12,197,B,N20E52,D,S,O
1981-12-02,3486,8,30,B,S20E45,B,X,O
1981-12-02,3487,22,210,B,N06E66,E,S,O
1981-12-02,3488,2,0,A,N12E01,A,X,X
1981-12-02,3489,6,20,A,S04E42,H,R,X
1981-12-02,3490,1,20,A,N02E77,H,R,X
1981-12-02,3491,2,313,A,S18E87,H,R,X
1981-12-02,3492,4,130,B,N21E77,D,S,O
1981-12-02,3494,1,0,A,S30E75,A,X,X
1981-12-02,3502,1,0,A,N03E16,A,X,X
1981-12-04,3477,10,303,B,S09W48,E,S,O
1981-12-04,3481,3,10,A,S16W23,A,X,X
1981-12-04,3484,7,155,B,N16W62,D,A,O
1981-12-04,3485,11,43,B,N20E16,D,S,O
1981-12-04,3486,5,40,B,S18E07,C,S,O
1981-12-04,3487,31,297,BG,N07E24,E,A,I
1981-12-04,3489,1,10,A,S03E05,A,X,X
1981-12-04,3490,2,10,A,N03E38,H,R,X
1981-12-04,3491,1,63,A,S16E46,H,S,X
1981-12-04,3492,15,370,B,N21E54,D,S,I
1981-12-04,3494,2,73,A,S29E50,A,X,X
1981-12-04,3496,12,287,B,N10E53,D,S,I
1981-12-04,3497,3,273,A,S18E59,H,A,X
1981-12-04,3498,2,120,A,S13E68,H,S,X
1981-12-04,3499,4,110,B,N15E72,D,S,O
1981-12-04,3500,4,48,B,N10E72,B,X,O
1981-12-04,3502,1,0,A,S15W15,A,X,X
1981-12-05,3477,5,325,B,S10W51,E,H,O
1981-12-05,3481,3,10,B,S15W27,B,X,O
1981-12-05,3484,6,127,B,N17W65,D,S,O
1981-12-05,3485,11,38,B,N20E13,D,S,O
1981-12-05,3486,7,25,B,S20E02,B,X,O
1981-12-05,3487,27,255,B,N06E21,E,A,I
1981-12-05,3489,2,10,A,S03E01,A,X,X
1981-12-05,3490,2,15,A,N02E35,H,R,X
1981-12-05,3491,2,70,A,S18E42,H,S,X
1981-12-05,3492,31,402,BG,N19E50,D,A,I
1981-12-05,3494,1,10,A,S32E45,A,X,X
1981-12-05,3496,19,305,B,N07E51,D,A,I
1981-12-05,3497,20,250,A,S20E54,H,H,X
1981-12-05,3498,2,190,A,S15E64,H,S,X
1981-12-05,3499,5,140,B,N13E65,D,S,O
1981-12-05,3500,8,100,B,N08E65,E,A,O
1981-12-05,3501,1,95,A,N18E85,H,K,X
1981-12-05,3502,3,10,B,S13W28,B,X,O
1981-12-07,3485,12,16,B,N21W19,C,R,O
1981-12-07,3486,10,15,B,S19W23,B,X,O
1981-12-07,3487,38,254,B,N04W12,D,H,I
1981-12-07,3489,1,0,A,S04W34,A,X,X
1981-12-07,3490,1,10,A,N02W01,A,X,X
1981-12-07,3491,9,84,B,S17E14,C,S,O
1981-12-07,3492,37,648,B,N19E21,E,K,C
1981-12-07,3496,42,622,B,N09E20,E,K,I
1981-12-07,3497,25,188,B,S19E25,D,K,O
1981-12-07,3498,5,134,B,S14E33,C,S,O
1981-12-07,3499,6,140,B,N12E35,C,S,O
1981-12-07,3500,24,154,B,N07E39,E,A,O
1981-12-07,3501,1,94,A,N17E59,H,S,X
1981-12-07,3502,7,18,B,S14W50,C,R,O
1981-12-07,3503,13,108,B,N10E58,D,R,O
1981-12-07,3504,8,372,A,S14E68,H,K,X
1981-12-07,3505,5,365,A,S06E81,H,H,X
1981-12-07,3506,2,32,A,S20E76,H,R,X
1981-12-08,3485,5,20,B,N20W27,B,X,O
1981-12-08,3486,4,10,B,S20W37,B,X,O
1981-12-08,3487,22,213,B,N05W24,D,S,O
1981-12-08,3491,6,82,B,S19W00,C,S,O
1981-12-08,3492,40,760,B,N18E08,E,K,I
1981-12-08,3496,47,640,B,N08E08,E,K,I
1981-12-08,3497,23,178,B,S21E15,D,A,O
1981-12-08,3498,7,102,B,S14E23,C,S,O
1981-12-08,3499,15,150,B,N14E24,C,S,O
1981-12-08,3500,24,110,B,N07E28,E,A,O
1981-12-08,3501,81,82,A,N18E48,H,S,X
1981-12-08,3502,9,68,B,S13W63,B,X,O
1981-12-08,3503,24,220,B,N10E46,D,A,O
1981-12-08,3504,17,367,B,S15E58,C,K,O
1981-12-08,3505,14,338,B,S06E73,D,K,O
1981-12-08,3506,11,158,B,S20E68,C,S,O
1981-12-09,3487,16,300,B,N06W35,D,H,O
1981-12-09,3491,3,160,B,S18W10,H,S,X
1981-12-09,3492,51,720,B,N19W05,E,K,C
1981-12-09,3494,10,47,B,S33W03,B,X,O
1981-12-09,3496,45,782,B,N07W03,F,K,I
1981-12-09,3497,11,165,B,S20E02,C,H,O
1981-12-09,3498,6,130,B,S15E11,H,S,X
1981-12-09,3499,2,160,A,N12E12,C,S,O
1981-12-09,3500,19,110,B,N05E15,C,A,O
1981-12-09,3501,7,77,A,N18E38,H,S,X
1981-12-09,3502,8,67,B,S13W77,B,X,O
1981-12-09,3503,27,262,B,N10E33,D,A,O
1981-12-09,3504,20,722,B,S15E46,D,K,I
1981-12-09,3505,13,465,B,S08E64,D,K,O
1981-12-09,3506,5,72,B,S21E55,D,S,O
1981-12-09,3507,9,60,B,S06E25,D,R,O
1981-12-09,3508,7,30,B,N10E32,D,R,I
1981-12-11,3509,2,120,,N19W67,D,S,O
1981-12-13,3491,2,43,B,S18W62,C,A,O
1981-12-13,3492,21,400,BG,N18W59,E,H,I
1981-12-13,3496,17,503,B,N08W59,F,K,I
1981-12-13,3497,5,57,A,S18W51,H,A,X
1981-12-13,3498,2,100,A,S14W41,H,S,X
1981-12-13,3499,1,120,A,N12W41,H,S,X
1981-12-13,3500,7,67,B,N07W41,C,S,O
1981-12-13,3501,1,67,A,N18W16,H,S,X
1981-12-13,3503,11,23,B,N11W21,C,R,O
1981-12-13,3504,18,720,B,S16W07,D,K,C
1981-12-13,3505,25,290,B,S07E11,D,H,I
1981-12-13,3506,5,37,A,S21E01,H,S,X
1981-12-13,3507,21,280,B,S07W20,D,K,O
1981-12-13,3508,2,20,,N12W17,B,X,O
1981-12-13,3509,2,45,B,N19W82,C,K,O
1981-12-13,3510,4,40,A,N12E59,B,X,O
1981-12-13,3511,6,40,B,N11E67,B,X,O
1981-12-14,3491,2,50,A,S18W75,H,R,X
1981-12-14,3492,11,218,BG,N19W72,D,A,O
1981-12-14,3496,13,203,B,N08W72,F,A,O
1981-12-14,3497,2,15,A,S19W63,A,X,X
1981-12-14,3498,1,122,A,S15W54,H,S,X
1981-12-14,3499,1,122,A,N12W55,H,S,X
1981-12-14,3500,3,46,A,N06W55,H,S,X
1981-12-14,3501,1,74,A,N18W29,H,S,X
1981-12-14,3503,11,22,B,N10W35,B,X,O
1981-12-14,3504,18,658,BD,S15W19,D,K,I
1981-12-14,3505,19,256,B,S07W03,C,H,O
1981-12-14,3506,1,28,A,S20W11,H,S,X
1981-12-14,3507,26,348,B,S07W34,E,A,I
1981-12-14,3510,2,5,A,N12E42,A,X,X
1981-12-14,3511,9,42,B,N12E55,C,S,O
1981-12-14,3513,2,10,B,S06E26,B,X,O
1981-12-15,3492,1,30,A,N19W81,H,S,X
1981-12-15,3498,1,85,A,S15W67,H,S,X
1981-12-15,3499,1,82,A,N12W68,H,S,X
1981-12-15,3500,2,12,A,N05W68,H,S,X
1981-12-15,3501,1,82,A,N18W41,H,S,X
1981-12-15,3503,3,10,B,N11W47,B,X,O
1981-12-15,3504,14,492,BD,S16W33,D,K,C
1981-12-15,3505,7,180,B,S07W18,C,H,O
1981-12-15,3506,2,18,A,S20W25,H,R,X
1981-12-15,3507,20,288,B,S08W48,E,A,I
1981-12-15,3511,8,52,B,N12E41,C,S,O
1981-12-15,3514,1,0,A,S08W01,A,X,X
1981-12-16,3498,1,105,A,S15W80,H,S,X
1981-12-16,3499,1,70,A,N12W82,H,S,X
1981-12-16,3501,1,65,A,N18W54,H,S,X
1981-12-16,3504,12,527,B,S15W45,D,K,O
1981-12-16,3505,6,164,A,S07W30,C,S,O
1981-12-16,3506,2,10,A,S20W38,A,X,X
1981-12-16,3507,15,346,B,S08W61,E,K,O
1981-12-16,3511,10,51,B,N12E27,C,S,O
1981-12-16,3512,2,10,B,S21E72,B,X,O
1981-12-16,3513,7,23,B,N07W03,B,X,O
1981-12-16,3514,3,20,B,S09W27,B,R,O
1981-12-17,3501,1,83,A,N18W75,H,S,X
1981-12-17,3504,5,490,B,S15W66,D,K,O
1981-12-17,3505,1,183,A,S08W52,H,K,X
1981-12-17,3511,5,53,B,N12E07,C,S,O
1981-12-17,3513,4,20,B,N09W12,B,X,O
1981-12-17,3514,2,17,A,S08W35,H,A,X
1981-12-17,3515,7,50,B,S08E25,C,S,O
1981-12-18,3501,1,30,A,N18W82,H,S,X
1981-12-18,3504,4,260,B,S15W74,D,H,I
1981-12-18,3505,1,200,A,S07W59,H,S,X
1981-12-18,3511,6,157,B,N13W03,C,R,O
1981-12-18,3514,3,110,A,S07W54,H,R,X
1981-12-18,3515,8,347,B,S09E17,C,R,O
1981-12-18,3516,2,150,A,N12E78,H,A,X
1981-12-18,3517,1,5,A,N17E45,A,X,X
1981-12-18,3518,1,0,A,S11W09,A,X,X
1981-12-19,3505,2,120,A,S07W72,H,S,X
1981-12-19,3511,2,25,B,N13W16,D,S,O
1981-12-19,3514,1,38,A,S08W58,H,S,X
1981-12-19,3515,15,62,B,S09E04,D,S,O
1981-12-19,3516,5,148,A,N13E73,H,S,X
1981-12-19,3517,1,0,A,N17E30,A,X,X
1981-12-19,3518,7,62,B,S12W13,B,X,O
1981-12-19,3519,2,10,A,N10E65,A,X,X
1981-12-20,3505,1,105,A,S07W87,H,S,X
1981-12-20,3511,2,22,B,N13W29,C,S,O
1981-12-20,3514,1,25,A,S08W71,H,S,X
1981-12-20,3515,10,42,B,S08W10,D,S,O
1981-12-20,3516,1,177,A,N13E60,H,S,X
1981-12-20,3518,9,30,B,S12W27,D,R,O
1981-12-20,3519,2,12,B,N11E51,B,X,O
1981-12-20,3520,1,190,A,S22E85,H,H,X
1981-12-21,3511,1,12,A,N14W44,H,R,X
1981-12-21,3514,1,40,,S09W85,H,R,X
1981-12-21,3515,9,40,B,S09W23,D,S,O
1981-12-21,3516,2,232,A,N12E46,H,S,X
1981-12-21,3518,4,22,A,S12W39,A,X,X
1981-12-21,3519,2,8,A,N09E37,A,X,X
1981-12-21,3520,4,312,A,S22E81,H,H,X
1981-12-21,3521,1,5,A,S24E48,A,X,X
1981-12-21,3522,2,5,B,N24E75,B,X,O
1981-12-22,3511,1,5,A,N13W57,A,X,X
1981-12-22,3515,5,24,B,S09W36,B,X,O
1981-12-22,3516,4,200,A,N13E33,H,H,X
1981-12-22,3518,3,18,B,S12W53,B,X,O
1981-12-22,3519,3,12,A,N10E25,A,X,X
1981-12-22,3520,7,254,B,S22E71,C,H,O
1981-12-22,3521,12,54,B,S23E43,B,X,O
1981-12-22,3522,3,12,A,N23E67,A,X,X
1981-12-22,3523,1,22,A,S08E76,H,S,X
1981-12-23,3512,2,20,B,S35W17,B,X,O
1981-12-23,3515,2,10,A,S08W54,A,X,X
1981-12-23,3516,6,208,B,N12E17,C,H,O
1981-12-23,3519,3,12,A,N10E09,A,X,X
1981-12-23,3520,6,252,B,S23E57,D,H,O
1981-12-23,3521,13,60,B,S24E29,B,X,O
1981-12-23,3522,15,92,B,N22E54,B,X,O
1981-12-23,3523,3,32,A,S08E65,H,S,X
1981-12-23,3524,3,20,B,S16W34,B,X,O
1981-12-24,3515,1,5,A,S09W67,A,X,X
1981-12-24,3516,1,192,A,N12E07,H,H,X
1981-12-24,3520,3,200,B,S23E44,C,H,O
1981-12-24,3521,10,54,B,S23E16,C,A,O
1981-12-24,3522,23,153,B,N23E40,D,A,O
1981-12-24,3523,2,25,A,S08E52,H,R,X
1981-12-24,3525,1,15,A,S18E50,A,X,X
1981-12-24,3526,1,0,A,S08E68,A,X,X
1981-12-25,3512,1,0,A,S04W44,A,X,X
1981-12-25,3516,4,180,A,N12W07,H,H,X
1981-12-25,3520,3,203,A,S23E30,H,H,X
1981-12-25,3521,5,23,B,S24E04,C,R,O
1981-12-25,3522,25,190,BG,N22E26,D,A,O
1981-12-25,3523,2,13,A,S08E38,A,X,X
1981-12-25,3525,1,0,A,S17E45,A,X,X
1981-12-25,3526,1,0,A,S09E58,A,X,X
1981-12-25,3527,1,0,A,S11E71,A,X,X
1981-12-26,3516,5,170,B,N12W32,C,S,O
1981-12-26,3519,2,10,A,S25W22,A,X,X
1981-12-26,3520,11,210,B,S23E18,C,S,O
1981-12-26,3521,7,62,A,S25W06,A,X,X
1981-12-26,3522,30,166,BGD,N22E11,D,A,O
1981-12-26,3523,3,7,A,S09E24,A,X,X
1981-12-26,3525,13,83,A,S19E30,A,X,X
1981-12-26,3526,3,37,A,S09E39,A,X,X
1981-12-26,3527,4,10,B,S12E56,B,X,O
1981-12-26,3528,5,32,B,S11E59,B,X,O
1981-12-26,3529,1,0,A,S22W04,A,X,X
1981-12-26,3533,1,80,A,N09E82,H,S,X
1981-12-27,3516,5,175,B,N12W33,C,S,O
1981-12-27,3520,10,233,B,S23E06,C,H,O
1981-12-27,3521,10,65,A,S25W21,A,X,X
1981-12-27,3522,18,120,B,N22W01,D,A,O
1981-12-27,3523,2,0,A,S14E10,A,X,X
1981-12-27,3525,13,37,B,S20E18,C,R,O
1981-12-27,3526,3,10,A,S09E39,A,X,X
1981-12-27,3527,3,5,A,S09E41,A,X,X
1981-12-27,3528,6,25,B,S11E61,D,R,O
1981-12-27,3529,5,10,B,S22W16,B,X,O
1981-12-27,3530,3,10,A,N18E38,A,X,X
1981-12-28,3516,2,125,B,N12W47,C,S,O
1981-12-28,3520,10,248,B,S25W08,D,H,I
1981-12-28,3521,14,217,B,S21W39,D,A,I
1981-12-28,3522,17,60,B,N21W14,D,A,O
1981-12-28,3523,1,10,A,S08W11,A,X,X
1981-12-28,3525,12,36,B,S21E05,C,R,I
1981-12-28,3527,7,10,B,S11E20,B,X,O
1981-12-28,3528,7,30,B,S11E47,B,X,O
1981-12-28,3529,15,170,B,S22W29,D,S,I
1981-12-28,3530,14,110,B,N17E34,B,X,I
1981-12-28,3531,9,162,A,N24E77,H,H,X
1981-12-28,3532,5,17,B,S17W18,B,X,O
1981-12-28,3533,4,55,B,N07E58,D,S,O
1981-12-29,3516,1,100,A,N11W59,H,S,X
1981-12-29,3520,14,265,BD,S25W21,D,K,I
1981-12-29,3521,8,170,B,S22W50,D,S,O
1981-12-29,3522,11,30,B,N20W30,B,X,I
1981-12-29,3523,4,10,B,S08W23,B,X,O
1981-12-29,3525,8,17,B,S21W10,B,X,O
1981-12-29,3528,6,10,B,S12E34,B,X,O
1981-12-29,3529,10,230,B,S22W42,D,S,O
1981-12-29,3530,21,225,B,N17E21,D,S,O
1981-12-29,3531,5,225,B,N24E68,D,S,O
1981-12-29,3532,6,10,B,S18W23,B,X,O
1981-12-29,3533,3,20,B,N05E54,D,R,O
1981-12-29,3537,1,0,A,N17E81,A,X,X
1981-12-30,3516,1,130,A,N11W80,H,A,X
