Date,Region,Sunspot Number,Size,Magnetic Classification,Sunspot Classification,Location
2017-01-01,12622,1,10,region_mag A,AXX,N11W71
2017-01-04,12624,1,0,region_mag A,AXX,S08W57
2017-01-13,12625,1,30,region_mag A,HSX,N03E72
2017-01-14,12625,3,50,region_mag B,CSO,N03E58
2017-01-14,12626,1,20,region_mag A,HSX,N08E67
2017-01-15,12625,3,50,region_mag B,CSO,N03E45
2017-01-15,12626,2,140,region_mag A,HSX,N08E55
2017-01-16,12625,1,40,region_mag A,HSX,N03E31
2017-01-16,12626,2,140,region_mag A,HAX,N09E42
2017-01-17,12625,1,60,region_mag A,HSX,N01E18
2017-01-17,12626,3,120,region_mag A,HAX,N08E29
2017-01-18,12625,2,50,region_mag A,HSX,N01E06
2017-01-18,12626,4,90,region_mag B,CAO,N08E16
2017-01-19,12625,2,40,region_mag B,CAO,S00W07
2017-01-19,12626,3,60,region_mag A,HAX,N07E03
2017-01-20,12625,2,20,region_mag A,HAX,S00W20
2017-01-20,12626,4,70,region_mag A,HAX,N08W11
2017-01-21,12625,2,40,region_mag A,HAX,S00W35
2017-01-21,12626,3,50,region_mag A,HAX,N08W24
2017-01-21,12627,12,70,region_mag B,DAO,N05E28
2017-01-21,12628,4,20,region_mag B,BXO,N12E49
2017-01-22,12625,3,30,region_mag A,HAX,N01W48
2017-01-22,12626,3,40,region_mag A,HSX,N08W37
2017-01-22,12627,13,80,region_mag B,DAI,N06E15
2017-01-22,12628,8,120,region_mag BG,DAI,N12E36
2017-01-23,12625,1,0,region_mag A,AXX,N01W62
2017-01-23,12626,1,30,region_mag A,HAX,N08W50
2017-01-23,12627,11,110,region_mag B,DAI,N06E01
2017-01-23,12628,8,210,region_mag BG,DAO,N12E21
2017-01-24,12626,2,30,region_mag A,HSX,N08W63
2017-01-24,12627,13,70,region_mag B,DAI,N06W12
2017-01-24,12628,8,220,region_mag B,DSO,N12E07
2017-01-25,12626,2,10,region_mag A,AXX,N08W74
2017-01-25,12627,4,30,region_mag B,CRO,N06W25
2017-01-25,12628,6,210,region_mag B,EAO,N13W05
2017-01-25,12629,3,70,region_mag B,CAO,N15E59
2017-01-26,12627,2,10,region_mag B,BXO,N06W39
2017-01-26,12628,7,180,region_mag B,CAO,N12W22
2017-01-26,12629,7,220,region_mag B,DAO,N15E44
2017-01-27,12628,5,120,region_mag B,CAO,N11W34
2017-01-27,12629,6,150,region_mag B,DAO,N15E31
2017-01-28,12628,5,110,region_mag B,CSO,N12W48
2017-01-28,12629,8,160,region_mag B,DAO,N15E18
2017-01-29,12628,3,110,region_mag A,HSX,N12W64
2017-01-29,12629,5,130,region_mag B,DSO,N15E05
2017-01-30,12628,1,110,region_mag A,HSX,N11W79
2017-01-30,12629,3,120,region_mag B,CSO,N15W10
2017-01-31,12629,1,60,region_mag A,HSX,N15W22
2017-01-31,12630,1,10,region_mag A,AXX,N16E54
2017-01-31,12631,3,10,region_mag B,BXO,S04W24
2017-02-01,12629,1,40,region_mag A,HAX,N15W38
2017-02-01,12631,5,10,region_mag B,BXO,S05W38
2017-02-01,12632,6,10,region_mag B,BXO,N14W08
2017-02-02,12629,1,40,region_mag A,HAX,N15W51
2017-02-02,12632,7,50,region_mag B,DAO,N14W22
2017-02-03,12629,1,40,region_mag A,HAX,N16W65
2017-02-03,12632,6,60,region_mag B,DAO,N14W36
2017-02-03,12633,3,10,region_mag B,BXO,N14W51
2017-02-04,12629,1,40,region_mag A,HAX,N16W78
2017-02-04,12632,6,30,region_mag B,CAO,N16W50
2017-02-04,12633,2,10,region_mag B,BXO,N15W64
2017-02-05,12629,1,30,region_mag A,HAX,N16W92
2017-02-05,12632,1,10,region_mag A,AXX,N16W64
2017-02-06,12629,1,30,region_mag A,HAX,N16W0*
2017-02-06,12632,1,10,region_mag A,AXX,N14W76
2017-02-06,12634,1,10,region_mag A,AXX,N02E70
2017-02-07,12634,5,10,region_mag B,BXO,N05E56
2017-02-08,12634,1,10,region_mag A,AXX,N03E44
2017-02-09,12635,6,10,region_mag B,CAO,N14E29
2017-02-10,12635,5,70,region_mag B,DAO,N13E13
2017-02-11,12635,8,110,region_mag B,DAI,N14W00
2017-02-12,12635,8,110,region_mag B,DAI,N12W15
2017-02-13,12635,8,90,region_mag B,DAI,N12W27
2017-02-14,12635,6,60,region_mag B,CSO,N12W40
2017-02-15,12635,5,50,region_mag B,CSO,N12W53
2017-02-16,12635,1,20,region_mag A,HRX,N13W66
2017-02-16,12636,2,10,region_mag A,AXX,N11E53
2017-02-17,12635,1,0,region_mag A,AXX,N13W80
2017-02-17,12636,2,10,region_mag A,HRX,N11E40
2017-02-18,12636,4,20,region_mag B,CRO,N11E27
2017-02-19,12636,3,20,region_mag B,BXO,N11E15
2017-02-20,12636,1,10,region_mag A,AXX,N11E01
2017-02-20,12637,2,20,region_mag A,AXX,S03E61
2017-02-21,12637,1,10,region_mag A,AXX,S04E47
